Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
eiderdown-from-the-island-of-svalbard,"Norwegian Eiderdown Duvet, Hand picked, limited supply","<p>Limited Edition Eiderdown Duvet</p><p><strong>Weight:</strong><br />
Summer: for hot sleepers and warm bedrooms.<br />
All year: for temperature controlled bedrooms with relatively stable temperatures year-round.<br />
Winter: for cold sleepers and cold bedrooms.<br />
Polar: for ice cold bedrooms and very cold sleepers.</p>
<p>Norwegian eiderdown, gathered from abandoned nests by hand, fill power rarely measured but insulates at well over 1000 (EU).</p>
<p>Eiderdown is the best of the best when it comes to down and annual supply is limited.</p>
<p>As the raw material can only be gathered once a year, once the eider ducks and ducklings have left their nests, production cannot be increased.</p>
<p>We rely on natural supply each year – nature decides.</p>
<p>This down expands when warmed up by your body. No other material in nature can match its insulating abilities. The cling of eiderdown is also unparalleled.</p>
<p>Although very warm, it breathes spectacularly well and is therefore great for light summer duvets. It’s the most durable down there is. A Norwegian treasure that can last 100 years and be passed down through generations if properly maintained.</p>
<p>Available in Summer, All-year, Winter and Polar and therefore suitable for all climates of and all possible personal preferences. Can also be tailor-made to suit individual tastes. Each duvet is made to order with a three week lead time.</p>
<p>We recommend to ship the duvet back to us every ten years for complete <a href=""https://www.norvegr.com/lifetime-products/"">restoration</a>. Eiderdown is the most durable down there is and these duvets can be restored up to eight times without the quality decreasing – thereby lasting almost 100 years if maintained properly. The restoration cost is the retail price at time of restoration, divided by eight. Shipping back and forth is extra, but thanks to a generous discount with our courier, costs are modest. We will gladly help arrange your product’s return to make the process as effortless as possible for you.</p>
#sp-ea-9981 .spcollapsing { height: 0; overflow: hidden; transition-property: height;transition-duration: 300ms;}#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single {margin-bottom: 10px; border: 1px solid #e2e2e2; }#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single&gt;.ea-header a {color: #444;}#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single&gt;.sp-collapse&gt;.ea-body {background: #fff; color: #444;}#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single {background: #eee;}#sp-ea-9981.sp-easy-accordion&gt;.sp-ea-single&gt;.ea-header a .ea-expand-icon { float: left; color: #bfa356;font-size: 16px;}<div id=""sp_easy_accordion-1785258019""><div id=""sp-ea-9981"" class=""sp-ea-one sp-easy-accordion"" data-ea-active=""ea-click"" data-ea-mode=""vertical"" data-preloader="""" data-scroll-active-item="""" data-offset-to-scroll=""0""><div class=""ea-card ea-expand sp-ea-single""><h3 class=""ea-header""><a class=""collapsed"" id=""ea-header-99810"" role=""button"" data-sptoggle=""spcollapse"" data-sptarget=""#collapse99810"" aria-controls=""collapse99810"" href=""#"" aria-expanded=""true""><i aria-hidden=""true"" role=""presentation"" class=""ea-expand-icon eap-icon-ea-expand-minus""></i> Duvet Buying Guide</a></h3><div class=""sp-collapse spcollapse collapsed show"" id=""collapse99810"" data-parent=""#sp-ea-9981"" role=""region"" aria-labelledby=""ea-header-99810""> <div class=""ea-body""><h2><a href=""/what-constitutes-a-good-duvet/"" target=""_blank"" rel=""noopener"">What constitutes a good duvet?</a></br><br /><a href=""/how-to-choose-between-our-duvet-collections/"" target=""_blank"" rel=""noopener"">How to Choose a Duvet Collection</a></br><br /><a href=""/choosing-your-perfect-duvet-size/"" target=""_blank"" rel=""noopener"">How to Choose a Duvet Size</a></br><br /><a href=""/how-to-choose-a-duvet-weight/"" target=""_blank"" rel=""noopener"">How to Choose a Duvet Weight</a></br><br /><a href=""/duvet-vs-comforter/"" target=""_blank"" rel=""noopener"">Duvet Vs Comforter</a></h2></div></div></div></div></div>
<p>&nbsp;</p>
<h1>The story behind our exclusive Eiderdown</h1>
#sp-ea-5732 .spcollapsing { height: 0; overflow: hidden; transition-property: height;transition-duration: 300ms;}#sp-ea-5732.sp-easy-accordion&gt;.sp-ea-single {margin-bottom: 10px; border: 1px solid #e2e2e2; }#sp-ea-5732.sp-easy-accordion&gt;.sp-ea-single&gt;.ea-header a {color: #444;}#sp-ea-5732.sp-easy-accordion&gt;.sp-ea-single&gt;.sp-collapse&gt;.ea-body {background: #fff; color: #444;}#sp-ea-5732.sp-easy-accordion&gt;.sp-ea-single {background: #eee;}#sp-ea-5732.sp-easy-accordion&gt;.sp-ea-single&gt;.ea-header a .ea-expand-icon { float: left; color: #444;font-size: 16px;}<div id=""sp_easy_accordion-1785258019""><div id=""sp-ea-5732"" class=""sp-ea-one sp-easy-accordion"" data-ea-active=""ea-click"" data-ea-mode=""vertical"" data-preloader="""" data-scroll-active-item="""" data-offset-to-scroll=""0""><div class=""ea-card sp-ea-single""><h3 class=""ea-header""><a class=""collapsed"" id=""ea-header-57320"" role=""button"" data-sptoggle=""spcollapse"" data-sptarget=""#collapse57320"" aria-controls=""collapse57320"" href=""#"" aria-expanded=""false""><i aria-hidden=""true"" role=""presentation"" class=""ea-expand-icon eap-icon-ea-expand-plus""></i> The Norwegian island of Svalbard</a></h3><div class=""sp-collapse spcollapse spcollapse"" id=""collapse57320"" data-parent=""#sp-ea-5732"" role=""region"" aria-labelledby=""ea-header-57320""> <div class=""ea-body""><p>Norvegr sources its Eiderdown from the Norwegian island of Svalbard, where the Eider ducks are cared for by the locals and co-exist with the infamous Polar Bear.</p><blockquote><p>The annual quantity is less than 100 kilograms and is arguably the most exclusive down in the world!</p></blockquote><p>The eider ducks, ”Somateria Mollissima Borealis”, that inhabit the island are slightly different than the eider ducks on the Norwegian mainland.</p><p>Even during the summer there is often rain, sleet and ice cold winds in these polar areas. This means that the wild animals on Svalbard, such as the fox and the reindeer are smaller, and develop thicker and richer furs because of the harsh climate. This is also the case for the eider duck, and its protective down.</p><p>Lastly, unlike on the Norwegian mainland or in Iceland, the eider ducks on Svalbard are completely untouched by humans!</p></div></div></div><div class=""ea-card sp-ea-single""><h3 class=""ea-header""><a class=""collapsed"" id=""ea-header-57321"" role=""button"" data-sptoggle=""spcollapse"" data-sptarget=""#collapse57321"" aria-controls=""collapse57321"" href=""#"" aria-expanded=""false""><i aria-hidden=""true"" role=""presentation"" class=""ea-expand-icon eap-icon-ea-expand-plus""></i> The Secret of the Eiderdown from this mesmerising island</a></h3><div class=""sp-collapse spcollapse spcollapse"" id=""collapse57321"" data-parent=""#sp-ea-5732"" role=""region"" aria-labelledby=""ea-header-57321""> <div class=""ea-body""><p>Seldom is nature quite so sophisticated as the deceptively humble down of the highly prized eider duck of northern Norway.</p><p>There are many reasons why this material has been coveted for so long, but the eider keeps its secret, quite literally, close to its chest.</p><p>The down comes only from the female eider, who plucks it from her own breast to feather her nest. Whenever she needs to wander down to the sea to feed, she simply spreads a little down over her eggs. This is enough to keep them warm for the whole day – tribute enough to the unique insulating properties of this material.</p><blockquote><p><em>This eiderdown has the best heat retention of all materials in nature!</em></p></blockquote></div></div></div><div class=""ea-card sp-ea-single""><h3 class=""ea-header""><a class=""collapsed"" id=""ea-header-57322"" role=""button"" data-sptoggle=""spcollapse"" data-sptarget=""#collapse57322"" aria-controls=""collapse57322"" href=""#"" aria-expanded=""false""><i aria-hidden=""true"" role=""presentation"" class=""ea-expand-icon eap-icon-ea-expand-plus""></i> The process behind collecting and washing this special Eiderdown material</a></h3><div class=""sp-collapse spcollapse spcollapse"" id=""collapse57322"" data-parent=""#sp-ea-5732"" role=""region"" aria-labelledby=""ea-header-57322""> <div class=""ea-body""><p>After midsummer, the female and her ducklings leave the nest and head for the sea until next year &#8211; this is when the harvesting of the down can take place.</p><p>The down is hand collected and hand washed. It takes a highly skilled person a full week to clean a single kilogram of Eiderdown, which was taken from up to 60 nests. (Each nest yields approximately 15-20 grams of down.)</p><p>The hand cleaning process is an essential step to ensure the preservation of its unique qualities.</p><blockquote><p>The annual quantity is sufficient for about 100 duvets and it is arguably the most exclusive down in the world. One rarely measures the fill power of eiderdown, however this has the highest of them all.</p></blockquote></div></div></div><div class=""ea-card sp-ea-single""><h3 class=""ea-header""><a class=""collapsed"" id=""ea-header-57323"" role=""button"" data-sptoggle=""spcollapse"" data-sptarget=""#collapse57323"" aria-controls=""collapse57323"" href=""#"" aria-expanded=""false""><i aria-hidden=""true"" role=""presentation"" class=""ea-expand-icon eap-icon-ea-expand-plus""></i> What other key features do these luxury duvets have?</a></h3><div class=""sp-collapse spcollapse spcollapse"" id=""collapse57323"" data-parent=""#sp-ea-5732"" role=""region"" aria-labelledby=""ea-header-57323""> <div class=""ea-body""><p>Filled in a channel constructed duvet casing made from the finest batiste, 100 % Egyptian cotton. The seams are hidden inside the casing on three sides, and there is no stitching throughout.</p><p>Instead, we use baffle walls between the channels, to make sure that the down reaches everywhere inside the casing. This way, the duvet is equally as thick all the way through the channels, and you will not have any cold spots against your body.</p></div></div></div></div></div>",Norvegr,Duvets,"Duvets, Limited Edition Collection",TRUE,Size,XL Twin,Weight,Summer,,,,,,0,deny,manual,6068.52,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/norwegian-eiderdown-duvet-comforter.jpg,1,"Norwegian Eiderdown Duvet, Hand picked, limited supply",FALSE,"Norwegian Eiderdown Duvet, Hand picked, limited supply",,,kg,active
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Single,Weight,All Year,,,,,,0,deny,manual,4869.85,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Single,Weight,Polar,,,,,,0,deny,manual,11843.96,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Single,Weight,Summer,,,,,,0,deny,manual,3565.96,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Single,Weight,Winter,,,,,,0,deny,manual,7481.38,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Double,Weight,All Year,,,,,,0,deny,manual,6658.47,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Double,Weight,Polar,,,,,,0,deny,manual,16717.56,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Double,Weight,Summer,,,,,,0,deny,manual,4809.73,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,Double,Weight,Winter,,,,,,0,deny,manual,10355.95,,TRUE,TRUE,,,,,,,,,kg,
eiderdown-from-the-island-of-svalbard,,,,,,,Size,King,Weight,All Year,,,,,,0,deny,manual,8420.78,,TRUE,TRUE,,,,,,,,,kg,
